Precision,Recall,F1 Score,Number of examples,Margin,Clauses,Specificity,Accumulation,Number of Examples norm,Margin norm,Clauses norm,Specificity norm,Accumulation norm
0.80,0.23,0.35,400,50,93,15,35,0.333333333,0,0.331914894,0.666666667,0.666666667
0.79,0.23,0.35,700,50,171,15,50,0.666666667,0,0.663829787,0.666666667,1
0.69,0.24,0.35,100,50,249,5,35,0,0,0.995744681,0,0.666666667
0.68,0.24,0.35,400,50,249,5,20,0.333333333,0,0.995744681,0,0.333333333
0.86,0.22,0.35,400,200,249,20,50,0.333333333,0.333333333,0.995744681,1,1
0.84,0.22,0.35,1000,350,171,15,20,1,0.666666667,0.663829787,0.666666667,0.333333333
0.81,0.22,0.35,1000,350,249,15,20,1,0.666666667,0.995744681,0.666666667,0.333333333
0.87,0.22,0.35,1000,200,93,20,35,1,0.333333333,0.331914894,1,0.666666667
0.88,0.22,0.35,1000,350,93,20,35,1,0.666666667,0.331914894,1,0.666666667
0.86,0.22,0.35,1000,350,15,10,20,1,0.666666667,0,0.333333333,0.333333333
0.77,0.23,0.35,100,50,15,10,35,0,0,0,0.333333333,0.666666667
0.80,0.22,0.35,400,50,171,15,50,0.333333333,0,0.663829787,0.666666667,1
0.88,0.22,0.35,400,500,249,20,35,0.333333333,1,0.995744681,1,0.666666667
0.83,0.22,0.35,700,350,249,15,20,0.666666667,0.666666667,0.995744681,0.666666667,0.333333333
0.90,0.22,0.35,400,350,93,20,50,0.333333333,0.666666667,0.331914894,1,1
0.78,0.22,0.35,700,50,171,10,35,0.666666667,0,0.663829787,0.333333333,0.666666667
0.87,0.22,0.35,1000,50,93,20,35,1,0,0.331914894,1,0.666666667
0.89,0.22,0.35,400,200,93,20,50,0.333333333,0.333333333,0.331914894,1,1
0.84,0.22,0.35,700,350,171,15,20,0.666666667,0.666666667,0.663829787,0.666666667,0.333333333
0.85,0.22,0.35,700,500,249,15,20,0.666666667,1,0.995744681,0.666666667,0.333333333
0.83,0.22,0.35,1000,200,249,15,20,1,0.333333333,0.995744681,0.666666667,0.333333333
0.84,0.22,0.35,1000,200,93,15,20,1,0.333333333,0.331914894,0.666666667,0.333333333
0.84,0.22,0.35,700,350,15,15,50,0.666666667,0.666666667,0,0.666666667,1
0.86,0.22,0.35,1000,200,171,20,35,1,0.333333333,0.663829787,1,0.666666667
0.81,0.22,0.35,400,350,15,10,20,0.333333333,0.666666667,0,0.333333333,0.333333333
0.82,0.22,0.35,1000,200,171,15,20,1,0.333333333,0.663829787,0.666666667,0.333333333
0.90,0.21,0.34,1000,500,15,20,50,1,1,0,1,1
0.82,0.22,0.34,100,200,15,10,50,0,0.333333333,0,0.333333333,1
0.69,0.23,0.34,100,200,249,5,5,0,0.333333333,0.995744681,0,0
0.85,0.21,0.34,700,350,93,15,20,0.666666667,0.666666667,0.331914894,0.666666667,0.333333333
0.85,0.21,0.34,700,500,93,15,20,0.666666667,1,0.331914894,0.666666667,0.333333333
0.87,0.21,0.34,700,500,171,20,35,0.666666667,1,0.663829787,1,0.666666667
0.86,0.21,0.34,700,50,93,20,35,0.666666667,0,0.331914894,1,0.666666667
0.76,0.22,0.34,1000,50,249,15,50,1,0,0.995744681,0.666666667,1
0.71,0.22,0.34,100,500,15,5,5,0,1,0,0,0
0.88,0.21,0.34,700,350,93,20,35,0.666666667,0.666666667,0.331914894,1,0.666666667
0.81,0.21,0.34,400,200,249,15,20,0.333333333,0.333333333,0.995744681,0.666666667,0.333333333
0.76,0.22,0.34,400,50,171,10,35,0.333333333,0,0.663829787,0.333333333,0.666666667
0.83,0.21,0.34,400,200,171,15,20,0.333333333,0.333333333,0.663829787,0.666666667,0.333333333
0.87,0.21,0.34,400,350,249,20,35,0.333333333,0.666666667,0.995744681,1,0.666666667
0.74,0.22,0.34,700,500,249,10,5,0.666666667,1,0.995744681,0.333333333,0
0.83,0.21,0.34,400,350,171,15,20,0.333333333,0.666666667,0.663829787,0.666666667,0.333333333
0.83,0.21,0.34,100,500,93,10,35,0,1,0.331914894,0.333333333,0.666666667
0.86,0.21,0.34,400,200,93,20,35,0.333333333,0.333333333,0.331914894,1,0.666666667
0.83,0.21,0.33,100,50,15,10,20,0,0,0,0.333333333,0.333333333
0.87,0.21,0.33,400,200,171,20,35,0.333333333,0.333333333,0.663829787,1,0.666666667
0.82,0.21,0.33,700,200,171,15,20,0.666666667,0.333333333,0.663829787,0.666666667,0.333333333
0.82,0.21,0.33,1000,50,171,20,50,1,0,0.663829787,1,1
0.79,0.21,0.33,1000,50,171,15,35,1,0,0.663829787,0.666666667,0.666666667
0.89,0.20,0.33,400,200,15,20,50,0.333333333,0.333333333,0,1,1
0.80,0.21,0.33,100,200,249,10,35,0,0.333333333,0.995744681,0.333333333,0.666666667
0.84,0.21,0.33,400,350,15,10,35,0.333333333,0.666666667,0,0.333333333,0.666666667
0.84,0.21,0.33,400,500,249,15,20,0.333333333,1,0.995744681,0.666666667,0.333333333
0.85,0.21,0.33,1000,500,171,20,20,1,1,0.663829787,1,0.333333333
0.85,0.20,0.33,1000,200,93,20,20,1,0.333333333,0.331914894,1,0.333333333
0.87,0.20,0.33,400,500,171,20,35,0.333333333,1,0.663829787,1,0.666666667
0.87,0.20,0.33,700,200,93,20,35,0.666666667,0.333333333,0.331914894,1,0.666666667
0.83,0.20,0.33,400,350,249,15,20,0.333333333,0.666666667,0.995744681,0.666666667,0.333333333
0.74,0.21,0.33,700,50,249,10,35,0.666666667,0,0.995744681,0.333333333,0.666666667
0.85,0.20,0.33,1000,500,249,20,20,1,1,0.995744681,1,0.333333333
0.85,0.20,0.33,700,200,15,15,35,0.666666667,0.333333333,0,0.666666667,0.666666667
0.87,0.20,0.33,400,350,171,20,35,0.333333333,0.666666667,0.663829787,1,0.666666667
0.89,0.20,0.33,700,350,15,20,50,0.666666667,0.666666667,0,1,1
0.85,0.20,0.33,700,200,249,20,35,0.666666667,0.333333333,0.995744681,1,0.666666667
0.81,0.20,0.32,700,200,249,15,20,0.666666667,0.333333333,0.995744681,0.666666667,0.333333333
0.88,0.20,0.32,400,350,93,20,35,0.333333333,0.666666667,0.331914894,1,0.666666667
0.85,0.20,0.32,1000,350,171,20,20,1,0.666666667,0.663829787,1,0.333333333
0.79,0.20,0.32,1000,50,15,15,20,1,0,0,0.666666667,0.333333333
0.84,0.20,0.32,400,200,15,15,35,0.333333333,0.333333333,0,0.666666667,0.666666667
0.85,0.20,0.32,400,50,171,20,50,0.333333333,0,0.663829787,1,1
0.80,0.20,0.32,100,200,249,15,50,0,0.333333333,0.995744681,0.666666667,1
0.72,0.21,0.32,400,50,249,10,50,0.333333333,0,0.995744681,0.333333333,1
0.84,0.20,0.32,400,50,15,15,20,0.333333333,0,0,0.666666667,0.333333333
0.86,0.20,0.32,1000,350,93,20,20,1,0.666666667,0.331914894,1,0.333333333
0.80,0.20,0.32,1000,50,249,20,50,1,0,0.995744681,1,1
0.76,0.20,0.32,1000,50,15,10,20,1,0,0,0.333333333,0.333333333
0.88,0.19,0.32,700,350,15,15,35,0.666666667,0.666666667,0,0.666666667,0.666666667
0.80,0.20,0.32,100,200,171,15,50,0,0.333333333,0.663829787,0.666666667,1
0.71,0.20,0.32,400,50,249,10,35,0.333333333,0,0.995744681,0.333333333,0.666666667
0.79,0.20,0.32,700,50,249,20,50,0.666666667,0,0.995744681,1,1
0.87,0.19,0.32,1000,350,15,20,50,1,0.666666667,0,1,1
0.82,0.20,0.32,400,200,93,15,20,0.333333333,0.333333333,0.331914894,0.666666667,0.333333333
0.75,0.20,0.32,1000,500,93,10,5,1,1,0.331914894,0.333333333,0
0.74,0.20,0.32,700,500,171,10,5,0.666666667,1,0.663829787,0.333333333,0
0.86,0.19,0.32,1000,500,15,15,35,1,1,0,0.666666667,0.666666667
0.81,0.20,0.32,1000,50,171,20,35,1,0,0.663829787,1,0.666666667
0.85,0.19,0.32,700,500,249,20,20,0.666666667,1,0.995744681,1,0.333333333
0.75,0.20,0.31,1000,350,93,10,5,1,0.666666667,0.331914894,0.333333333,0
0.76,0.20,0.31,700,500,93,10,5,0.666666667,1,0.331914894,0.333333333,0
0.84,0.19,0.31,400,350,93,15,20,0.333333333,0.666666667,0.331914894,0.666666667,0.333333333
0.75,0.20,0.31,700,50,249,15,50,0.666666667,0,0.995744681,0.666666667,1
0.78,0.20,0.31,700,50,93,10,20,0.666666667,0,0.331914894,0.333333333,0.333333333
0.86,0.19,0.31,1000,500,15,15,20,1,1,0,0.666666667,0.333333333
0.84,0.19,0.31,400,500,171,15,20,0.333333333,1,0.663829787,0.666666667,0.333333333
0.76,0.20,0.31,400,50,93,10,20,0.333333333,0,0.331914894,0.333333333,0.333333333
0.76,0.20,0.31,1000,50,93,10,20,1,0,0.331914894,0.333333333,0.333333333
0.85,0.19,0.31,700,350,171,20,20,0.666666667,0.666666667,0.663829787,1,0.333333333
0.75,0.20,0.31,1000,500,171,10,5,1,1,0.663829787,0.333333333,0
0.87,0.19,0.31,400,350,15,15,50,0.333333333,0.666666667,0,0.666666667,1
0.65,0.20,0.31,700,50,93,5,5,0.666666667,0,0.331914894,0,0
0.82,0.19,0.31,100,350,249,15,50,0,0.666666667,0.995744681,0.666666667,1
0.88,0.19,0.31,1000,500,93,20,20,1,1,0.331914894,1,0.333333333
0.73,0.20,0.31,1000,500,249,10,5,1,1,0.995744681,0.333333333,0
0.83,0.19,0.31,100,500,249,15,50,0,1,0.995744681,0.666666667,1
0.81,0.19,0.31,400,50,171,15,35,0.333333333,0,0.663829787,0.666666667,0.666666667
0.87,0.19,0.31,1000,200,15,20,35,1,0.333333333,0,1,0.666666667
0.76,0.19,0.31,100,200,249,10,20,0,0.333333333,0.995744681,0.333333333,0.333333333
0.79,0.19,0.31,700,50,171,20,50,0.666666667,0,0.663829787,1,1
0.84,0.19,0.31,400,200,249,20,35,0.333333333,0.333333333,0.995744681,1,0.666666667
0.88,0.19,0.31,700,200,15,20,50,0.666666667,0.333333333,0,1,1
0.82,0.19,0.31,400,500,93,15,20,0.333333333,1,0.331914894,0.666666667,0.333333333
0.80,0.19,0.31,100,500,15,10,50,0,1,0,0.333333333,1
0.85,0.19,0.31,1000,350,15,15,20,1,0.666666667,0,0.666666667,0.333333333
0.82,0.19,0.31,100,350,171,15,50,0,0.666666667,0.663829787,0.666666667,1
0.83,0.19,0.31,1000,350,249,20,20,1,0.666666667,0.995744681,1,0.333333333
0.75,0.19,0.31,700,350,93,10,5,0.666666667,0.666666667,0.331914894,0.333333333,0
0.79,0.19,0.31,100,50,93,10,35,0,0,0.331914894,0.333333333,0.666666667
0.80,0.19,0.31,100,500,249,10,20,0,1,0.995744681,0.333333333,0.333333333
0.78,0.19,0.30,100,350,93,10,20,0,0.666666667,0.331914894,0.333333333,0.333333333
0.86,0.18,0.30,700,500,171,20,20,0.666666667,1,0.663829787,1,0.333333333
0.73,0.19,0.30,700,200,171,10,5,0.666666667,0.333333333,0.663829787,0.333333333,0
0.74,0.19,0.30,100,50,171,10,50,0,0,0.663829787,0.333333333,1
0.87,0.18,0.30,700,50,15,20,35,0.666666667,0,0,1,0.666666667
0.83,0.18,0.30,700,200,171,20,20,0.666666667,0.333333333,0.663829787,1,0.333333333
0.84,0.18,0.30,1000,200,171,20,20,1,0.333333333,0.663829787,1,0.333333333
0.86,0.18,0.30,700,200,93,20,20,0.666666667,0.333333333,0.331914894,1,0.333333333
0.74,0.19,0.30,700,200,93,10,5,0.666666667,0.333333333,0.331914894,0.333333333,0
0.71,0.19,0.30,1000,50,171,10,20,1,0,0.663829787,0.333333333,0.333333333
0.77,0.19,0.30,100,350,171,10,20,0,0.666666667,0.663829787,0.333333333,0.333333333
0.86,0.18,0.30,700,350,93,20,20,0.666666667,0.666666667,0.331914894,1,0.333333333
0.74,0.19,0.30,1000,50,249,15,35,1,0,0.995744681,0.666666667,0.666666667
0.78,0.19,0.30,100,200,93,10,20,0,0.333333333,0.331914894,0.333333333,0.333333333
0.77,0.19,0.30,1000,200,15,10,5,1,0.333333333,0,0.333333333,0
0.79,0.19,0.30,100,200,171,10,20,0,0.333333333,0.663829787,0.333333333,0.333333333
0.82,0.18,0.30,1000,200,15,15,20,1,0.333333333,0,0.666666667,0.333333333
0.80,0.18,0.30,100,350,15,10,50,0,0.666666667,0,0.333333333,1
0.80,0.18,0.30,100,500,171,10,20,0,1,0.663829787,0.333333333,0.333333333
0.73,0.19,0.30,100,350,15,5,5,0,0.666666667,0,0,0
0.88,0.18,0.30,400,350,15,15,35,0.333333333,0.666666667,0,0.666666667,0.666666667
0.81,0.18,0.30,700,50,171,20,35,0.666666667,0,0.663829787,1,0.666666667
0.83,0.18,0.30,700,350,249,20,20,0.666666667,0.666666667,0.995744681,1,0.333333333
0.76,0.19,0.30,400,350,171,10,5,0.333333333,0.666666667,0.663829787,0.333333333,0
0.78,0.18,0.30,1000,50,249,20,35,1,0,0.995744681,1,0.666666667
0.90,0.18,0.30,700,500,15,20,50,0.666666667,1,0,1,1
0.83,0.18,0.30,700,200,249,20,20,0.666666667,0.333333333,0.995744681,1,0.333333333
0.86,0.18,0.30,400,500,93,20,35,0.333333333,1,0.331914894,1,0.666666667
0.83,0.18,0.30,100,200,15,10,35,0,0.333333333,0,0.333333333,0.666666667
0.74,0.18,0.30,400,500,249,10,5,0.333333333,1,0.995744681,0.333333333,0
0.73,0.19,0.30,1000,200,93,10,5,1,0.333333333,0.331914894,0.333333333,0
0.78,0.18,0.29,700,50,249,20,35,0.666666667,0,0.995744681,1,0.666666667
0.88,0.18,0.29,400,500,15,15,50,0.333333333,1,0,0.666666667,1
0.68,0.19,0.29,100,50,249,5,20,0,0,0.995744681,0,0.333333333
0.79,0.18,0.29,400,500,15,10,20,0.333333333,1,0,0.333333333,0.333333333
0.77,0.18,0.29,100,350,249,10,20,0,0.666666667,0.995744681,0.333333333,0.333333333
0.73,0.18,0.29,400,350,93,10,5,0.333333333,0.666666667,0.331914894,0.333333333,0
0.77,0.18,0.29,700,350,15,10,5,0.666666667,0.666666667,0,0.333333333,0
0.73,0.18,0.29,1000,350,249,10,5,1,0.666666667,0.995744681,0.333333333,0
0.86,0.18,0.29,400,500,249,20,20,0.333333333,1,0.995744681,1,0.333333333
0.82,0.18,0.29,1000,200,249,20,20,1,0.333333333,0.995744681,1,0.333333333
0.74,0.18,0.29,1000,350,171,10,5,1,0.666666667,0.663829787,0.333333333,0
0.82,0.18,0.29,1000,50,93,20,20,1,0,0.331914894,1,0.333333333
0.82,0.18,0.29,700,50,93,15,20,0.666666667,0,0.331914894,0.666666667,0.333333333
0.73,0.18,0.29,700,350,249,10,5,0.666666667,0.666666667,0.995744681,0.333333333,0
0.73,0.18,0.29,700,350,171,10,5,0.666666667,0.666666667,0.663829787,0.333333333,0
0.80,0.18,0.29,100,500,15,10,35,0,1,0,0.333333333,0.666666667
0.73,0.18,0.29,400,50,171,10,20,0.333333333,0,0.663829787,0.333333333,0.333333333
0.79,0.18,0.29,400,50,93,15,20,0.333333333,0,0.331914894,0.666666667,0.333333333
0.77,0.18,0.29,400,500,93,10,5,0.333333333,1,0.331914894,0.333333333,0
0.79,0.18,0.29,100,50,93,15,50,0,0,0.331914894,0.666666667,1
0.76,0.18,0.29,100,50,171,10,35,0,0,0.663829787,0.333333333,0.666666667
0.87,0.17,0.29,700,200,15,20,35,0.666666667,0.333333333,0,1,0.666666667
0.76,0.18,0.29,700,500,15,10,5,0.666666667,1,0,0.333333333,0
0.90,0.17,0.29,1000,50,15,20,35,1,0,0,1,0.666666667
0.66,0.18,0.29,100,50,15,5,5,0,0,0,0,0
0.75,0.18,0.29,400,200,93,10,5,0.333333333,0.333333333,0.331914894,0.333333333,0
0.82,0.17,0.29,400,50,93,20,35,0.333333333,0,0.331914894,1,0.666666667
0.67,0.18,0.29,1000,50,93,5,5,1,0,0.331914894,0,0
0.87,0.17,0.28,400,500,15,20,50,0.333333333,1,0,1,1
0.78,0.17,0.28,100,200,15,10,20,0,0.333333333,0,0.333333333,0.333333333
0.77,0.17,0.28,1000,50,93,15,20,1,0,0.331914894,0.666666667,0.333333333
0.84,0.17,0.28,400,200,15,15,20,0.333333333,0.333333333,0,0.666666667,0.333333333
0.82,0.17,0.28,400,200,249,20,20,0.333333333,0.333333333,0.995744681,1,0.333333333
0.86,0.17,0.28,700,350,15,15,20,0.666666667,0.666666667,0,0.666666667,0.333333333
0.81,0.17,0.28,100,500,171,15,50,0,1,0.663829787,0.666666667,1
0.76,0.17,0.28,700,50,249,15,35,0.666666667,0,0.995744681,0.666666667,0.666666667
0.70,0.18,0.28,700,50,171,10,20,0.666666667,0,0.663829787,0.333333333,0.333333333
0.89,0.17,0.28,700,350,15,20,35,0.666666667,0.666666667,0,1,0.666666667
0.74,0.17,0.28,700,200,15,10,5,0.666666667,0.333333333,0,0.333333333,0
0.75,0.17,0.28,400,50,249,15,50,0.333333333,0,0.995744681,0.666666667,1
0.72,0.17,0.28,100,50,249,10,50,0,0,0.995744681,0.333333333,1
0.79,0.17,0.28,400,50,249,20,50,0.333333333,0,0.995744681,1,1
0.80,0.17,0.28,100,200,93,15,50,0,0.333333333,0.331914894,0.666666667,1
0.74,0.17,0.28,400,500,171,10,5,0.333333333,1,0.663829787,0.333333333,0
0.85,0.16,0.28,700,500,93,20,20,0.666666667,1,0.331914894,1,0.333333333
0.82,0.17,0.28,100,350,93,15,50,0,0.666666667,0.331914894,0.666666667,1
0.87,0.16,0.28,700,500,15,15,35,0.666666667,1,0,0.666666667,0.666666667
0.81,0.17,0.28,100,200,171,15,35,0,0.333333333,0.663829787,0.666666667,0.666666667
0.84,0.16,0.28,400,350,249,20,20,0.333333333,0.666666667,0.995744681,1,0.333333333
0.79,0.17,0.27,100,500,93,10,20,0,1,0.331914894,0.333333333,0.333333333
0.80,0.17,0.27,700,50,93,20,20,0.666666667,0,0.331914894,1,0.333333333
0.79,0.17,0.27,100,200,249,15,35,0,0.333333333,0.995744681,0.666666667,0.666666667
0.76,0.17,0.27,100,50,15,20,50,0,0,0,1,1
0.87,0.16,0.27,400,350,171,20,20,0.333333333,0.666666667,0.663829787,1,0.333333333
0.84,0.16,0.27,700,200,15,15,20,0.666666667,0.333333333,0,0.666666667,0.333333333
0.79,0.16,0.27,1000,50,171,20,20,1,0,0.663829787,1,0.333333333
0.79,0.16,0.27,100,50,93,20,50,0,0,0.331914894,1,1
0.68,0.17,0.27,1000,50,249,10,20,1,0,0.995744681,0.333333333,0.333333333
0.83,0.16,0.27,1000,350,15,20,35,1,0.666666667,0,1,0.666666667
0.83,0.16,0.27,400,200,93,20,20,0.333333333,0.333333333,0.331914894,1,0.333333333
0.76,0.16,0.27,1000,500,15,10,5,1,1,0,0.333333333,0
0.84,0.16,0.27,400,350,93,20,20,0.333333333,0.666666667,0.331914894,1,0.333333333
0.76,0.16,0.27,400,50,249,15,35,0.333333333,0,0.995744681,0.666666667,0.666666667
0.79,0.16,0.27,100,200,249,20,50,0,0.333333333,0.995744681,1,1
0.81,0.16,0.27,100,200,93,15,35,0,0.333333333,0.331914894,0.666666667,0.666666667
0.81,0.16,0.26,100,500,249,15,35,0,1,0.995744681,0.666666667,0.666666667
0.68,0.16,0.26,700,50,249,10,20,0.666666667,0,0.995744681,0.333333333,0.333333333
0.85,0.16,0.26,400,500,171,20,20,0.333333333,1,0.663829787,1,0.333333333
0.79,0.16,0.26,400,50,171,20,35,0.333333333,0,0.663829787,1,0.666666667
0.79,0.16,0.26,100,350,249,15,35,0,0.666666667,0.995744681,0.666666667,0.666666667
0.72,0.16,0.26,1000,350,15,10,5,1,0.666666667,0,0.333333333,0
0.85,0.15,0.26,400,200,171,20,20,0.333333333,0.333333333,0.663829787,1,0.333333333
0.82,0.16,0.26,100,500,171,15,35,0,1,0.663829787,0.666666667,0.666666667
0.83,0.16,0.26,100,500,93,15,50,0,1,0.331914894,0.666666667,1
0.85,0.15,0.26,400,500,93,20,20,0.333333333,1,0.331914894,1,0.333333333
0.83,0.15,0.26,700,500,15,15,20,0.666666667,1,0,0.666666667,0.333333333
0.76,0.16,0.26,1000,350,93,15,5,1,0.666666667,0.331914894,0.666666667,0
0.80,0.15,0.26,100,50,15,15,35,0,0,0,0.666666667,0.666666667
0.70,0.16,0.26,1000,200,249,10,5,1,0.333333333,0.995744681,0.333333333,0
0.89,0.15,0.26,700,500,15,20,35,0.666666667,1,0,1,0.666666667
0.82,0.15,0.26,100,350,171,15,35,0,0.666666667,0.663829787,0.666666667,0.666666667
0.84,0.15,0.26,700,50,15,20,20,0.666666667,0,0,1,0.333333333
0.75,0.15,0.26,400,350,249,10,5,0.333333333,0.666666667,0.995744681,0.333333333,0
0.80,0.15,0.26,100,200,171,20,50,0,0.333333333,0.663829787,1,1
0.93,0.15,0.25,400,350,15,20,50,0.333333333,0.666666667,0,1,1
0.82,0.15,0.25,100,350,249,20,50,0,0.666666667,0.995744681,1,1
0.81,0.15,0.25,100,50,93,15,35,0,0,0.331914894,0.666666667,0.666666667
0.86,0.15,0.25,1000,200,15,20,20,1,0.333333333,0,1,0.333333333
0.71,0.15,0.25,1000,50,171,15,20,1,0,0.663829787,0.666666667,0.333333333
0.77,0.15,0.25,700,500,249,15,5,0.666666667,1,0.995744681,0.666666667,0
0.83,0.15,0.25,100,350,171,20,50,0,0.666666667,0.663829787,1,1
0.83,0.15,0.25,400,500,15,15,35,0.333333333,1,0,0.666666667,0.666666667
0.82,0.15,0.25,100,500,15,10,20,0,1,0,0.333333333,0.333333333
0.80,0.15,0.25,700,50,171,20,20,0.666666667,0,0.663829787,1,0.333333333
0.79,0.15,0.25,100,50,93,10,20,0,0,0.331914894,0.333333333,0.333333333
0.68,0.15,0.25,400,50,93,5,5,0.333333333,0,0.331914894,0,0
0.75,0.15,0.24,400,200,15,10,5,0.333333333,0.333333333,0,0.333333333,0
